Law Name,Section Number,Description,Profession
Indian Penal Code (IPC),120A,Definition of Criminal Conspiracy,Lawyer
Indian Penal Code (IPC),121,Waging or Attempting to Wage War Against the Government,Police Officer
Indian Penal Code (IPC),141,Unlawful Assembly,Police Officer
Indian Penal Code (IPC),143,Punishment for Unlawful Assembly,Police Officer
Indian Penal Code (IPC),144,Joining Unlawful Assembly Armed with Deadly Weapon,Police Officer
Indian Penal Code (IPC),149,Every Member of Unlawful Assembly Guilty of Offense,Police Officer
Indian Penal Code (IPC),153A,Promoting Enmity Between Different Groups,Social Worker
Indian Penal Code (IPC),154,Liability of Owner for Rioting,Police Officer
Indian Penal Code (IPC),159,Affray,Police Officer
Indian Penal Code (IPC),160,Punishment for Committing Affray,Police Officer
Indian Penal Code (IPC),166,Public Servant Disobeying Law,Government Official
Indian Penal Code (IPC),167,Public Servant Framing Incorrect Document,Government Official
Indian Penal Code (IPC),177,Furnishing False Information,Government Official
Indian Penal Code (IPC),186,Obstructing Public Servant in Discharge of Duty,Government Official
Indian Penal Code (IPC),191,Giving False Evidence,Lawyer
Indian Penal Code (IPC),192,Fabricating False Evidence,Lawyer
Indian Penal Code (IPC),193,Punishment for False Evidence,Lawyer
Indian Penal Code (IPC),196,Using Evidence Known to be False,Lawyer
Indian Penal Code (IPC),197,Issuing or Signing False Certificate,Government Official
Indian Penal Code (IPC),198,Using as True a Certificate Known to be False,Government Official
Indian Penal Code (IPC),199,False Statement Made in Declaration,Government Official
Indian Penal Code (IPC),200,Using as True Such Declaration,Government Official
Indian Penal Code (IPC),202,Intentional Omission to Give Information,Government Official
Indian Penal Code (IPC),203,Giving False Information Respecting an Offense,Government Official
Indian Penal Code (IPC),204,Destruction of Document to Prevent Its Production,Lawyer
Indian Penal Code (IPC),211,False Charge of Offense Made with Intent to Injure,Lawyer
Indian Penal Code (IPC),212,Harboring Offender,Police Officer
Indian Penal Code (IPC),216,Harboring Offender Who Has Escaped from Custody,Police Officer
Indian Penal Code (IPC),217,Public Servant Disobeying Direction of Law,Government Official
Indian Penal Code (IPC),218,Public Servant Framing Incorrect Record,Government Official
Indian Penal Code (IPC),220,Commitment for Trial or Confinement,Lawyer
